Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
CXCI11;Títulos e Val. Mob.;69,4;13,44%;12,88%;0,82;142806000;95157;0;0;0;0,00%;0,00%
CXCO11;Lajes Corporativas;58,9;14,03%;13,14%;0,61;231153000;109773;10;2481,54;408,26;16,45%;0,00%
CXRI11;Títulos e Val. Mob.;63,71;11,19%;11,02%;0,78;100392000;49044;0;0;0;0,00%;0,00%
CXTL11;Logística;224,64;11,29%;10,72%;0,54;12040000;4013;1;1692,92;349,64;20,65%;0,00%
DAMA11;Títulos e Val. Mob.;7,49;10,62%;12,00%;0,89;41472400;145047;0;0;0;0,00%;0,00%
DAMT11;Shoppings;16,5;0,65%;0,00%;1,14;293366000;325;2;2639470;241259,85;9,14%;9,48%
DCRA11;;7,6;18,65%;15,82%;0,79;51215700;78481;0;0;0;0,00%;0,00%
DEVA11;Títulos e Val. Mob.;31,48;16,92%;16,60%;0,33;442134000;551475;0;0;0;0,00%;0,00%
DPRO11;;6,26;10,87%;10,48%;0,69;31320200;890;1;1904,78;250,45;13,15%;0,00%
DRIT11;Lajes Corporativas;86,9;6,96%;11,01%;0,66;40258800;637;5;4000,28;474,83;11,87%;0,00%
DVFF11;;6,42;9,84%;12,71%;0,78;70681000;14448;0;0;0;0,00%;0,00%
EDFO11;Lajes Corporativas;125;14,83%;13,75%;0,59;29500000;1247;1;82561;14616,69;17,70%;100,05%
EDGA11;Lajes Corporativas;17,02;2,60%;5,43%;0,36;64881200;9301;1;2583,87;275,58;10,67%;23,55%
EGAF11;Títulos e Val. Mob.;93,38;13,56%;15,21%;0,94;292458000;811124;0;0;0;0,00%;0,00%
EQIR11;Títulos e Val. Mob.;7,84;12,70%;14,61%;0,82;85529000;178966;0;0;0;0,00%;0,00%
ERPA11;Lajes Corporativas;129,2;5,67%;7,85%;0,81;64719100;11201;1;19137,7;1255,52;6,56%;0,00%
EURO11;Logística;228,01;10,42%;9,91%;0,69;87541200;26391;7;738,33;85,04;11,52%;0,00%
EXES11;Títulos e Val. Mob.;9,42;12,63%;14,41%;0,97;66933300;139458;0;0;0;0,00%;0,00%
FAED11;Outros;142,01;13,48%;13,38%;0,64;98324500;74828;4;2128,39;305,78;14,37%;0,00%
FAMB11;Lajes Corporativas;852,75;147,85%;44,98%;0,46;104494000;46100;1;1729,16;59,62;3,45%;98,02%
FATN11;Híbrido;76,97;9,84%;12,79%;0,78;338152000;954810;56;22024,1;2055,68;9,33%;4,54%
FCFL11;Outros;119,44;8,71%;8,56%;0,97;414936000;240772;1;13307,2;1206,77;9,07%;0,00%
FGAA11;Híbrido;8,8;14,01%;17,13%;0,93;396717000;1004490;0;0;0;0,00%;0,00%
